TIMESTAMP,HTB,Calendrier
1207,5.7,HCH
1208,8.3,HPH
1209,8.3,HPH
1210,10.3,P
1211,10.3,P
1212,8.3,HPH
1213,8.3,HPH
1214,8.3,HPH
1215,8.3,HPH
1216,8.3,HPH
1217,8.3,HPH
1218,8.3,HPH
1219,10.3,P
1220,10.3,P
1221,8.3,HPH
1222,8.3,HPH
1223,8.3,HPH
1224,5.7,HCH
1225,5.7,HCH
1226,5.7,HCH
1227,5.7,HCH
1228,5.7,HCH
1229,5.7,HCH
1230,5.7,HCH
1231,5.7,HCH
1232,8.3,HPH
1233,8.3,HPH
1234,10.3,P
1235,10.3,P
1236,8.3,HPH
1237,8.3,HPH
1238,8.3,HPH
1239,8.3,HPH
1240,8.3,HPH
1241,8.3,HPH
1242,8.3,HPH
1243,10.3,P
1244,10.3,P
1245,8.3,HPH
1246,8.3,HPH
1247,8.3,HPH
1248,5.7,HCH
1249,5.7,HCH
1250,5.7,HCH
1251,5.7,HCH
1252,5.7,HCH
1253,5.7,HCH
1254,5.7,HCH
1255,5.7,HCH
1256,8.3,HPH
1257,8.3,HPH
1258,10.3,P
1259,10.3,P
1260,8.3,HPH
1261,8.3,HPH
1262,8.3,HPH
1263,8.3,HPH
1264,8.3,HPH
1265,8.3,HPH
1266,8.3,HPH
1267,10.3,P
1268,10.3,P
1269,8.3,HPH
1270,8.3,HPH
1271,8.3,HPH
1272,5.7,HCH
1273,5.7,HCH
1274,5.7,HCH
1275,5.7,HCH
1276,5.7,HCH
1277,5.7,HCH
1278,5.7,HCH
1279,5.7,HCH
1280,8.3,HPH
1281,8.3,HPH
1282,10.3,P
1283,10.3,P
1284,8.3,HPH
1285,8.3,HPH
1286,8.3,HPH
1287,8.3,HPH
1288,8.3,HPH
1289,8.3,HPH
1290,8.3,HPH
1291,10.3,P
1292,10.3,P
1293,8.3,HPH
1294,8.3,HPH
1295,8.3,HPH
1296,5.7,HCH
1297,5.7,HCH
1298,5.7,HCH
1299,5.7,HCH
1300,5.7,HCH
1301,5.7,HCH
1302,5.7,HCH
1303,5.7,HCH
1304,8.3,HPH
1305,8.3,HPH
1306,10.3,P
1307,10.3,P
1308,8.3,HPH
1309,8.3,HPH
1310,8.3,HPH
1311,8.3,HPH
1312,8.3,HPH
1313,8.3,HPH
1314,8.3,HPH
1315,10.3,P
1316,10.3,P
1317,8.3,HPH
1318,8.3,HPH
1319,8.3,HPH
1320,5.7,HCH
1321,5.7,HCH
1322,5.7,HCH
1323,5.7,HCH
1324,5.7,HCH
1325,5.7,HCH
1326,5.7,HCH
1327,5.7,HCH
1328,8.3,HPH
1329,8.3,HPH
1330,10.3,P
1331,10.3,P
1332,8.3,HPH
1333,8.3,HPH
1334,8.3,HPH
1335,8.3,HPH
1336,8.3,HPH
1337,8.3,HPH
1338,8.3,HPH
1339,10.3,P
1340,10.3,P
1341,8.3,HPH
1342,8.3,HPH
1343,8.3,HPH
1344,5.7,HCH
1345,5.7,HCH
1346,5.7,HCH
1347,5.7,HCH
1348,5.7,HCH
1349,5.7,HCH
1350,5.7,HCH
1351,5.7,HCH
1352,8.3,HPH
1353,8.3,HPH
1354,10.3,P
1355,10.3,P
1356,8.3,HPH
1357,8.3,HPH
1358,8.3,HPH
1359,8.3,HPH
1360,8.3,HPH
1361,8.3,HPH
1362,8.3,HPH
1363,10.3,P
1364,10.3,P
1365,8.3,HPH
1366,8.3,HPH
1367,8.3,HPH
1368,5.7,HCH
1369,5.7,HCH
1370,5.7,HCH
1371,5.7,HCH
1372,5.7,HCH
1373,5.7,HCH
1374,5.7,HCH
1375,5.7,HCH
1376,8.3,HPH
1377,8.3,HPH
1378,10.3,P
1379,10.3,P
1380,8.3,HPH
1381,8.3,HPH
1382,8.3,HPH
1383,8.3,HPH
1384,8.3,HPH
1385,8.3,HPH
1386,8.3,HPH
1387,10.3,P
1388,10.3,P
1389,8.3,HPH
1390,8.3,HPH
1391,8.3,HPH
1392,5.7,HCH
1393,5.7,HCH
1394,5.7,HCH
1395,5.7,HCH
1396,5.7,HCH
1397,5.7,HCH
