TIMESTAMP,RESOURCES,areaConsumption
1282,electricity,59313
1283,electricity,59104
1284,electricity,57866
1285,electricity,57751
1286,electricity,56906
1287,electricity,53592
1288,electricity,50945
1289,electricity,49208
1290,electricity,48778
1291,electricity,52031
1292,electricity,58632
1293,electricity,58116
1294,electricity,55732
1295,electricity,55144
1296,electricity,58505
1297,electricity,58071
1298,electricity,54913
1299,electricity,54076
1300,electricity,51632
1301,electricity,49961
1302,electricity,49915
1303,electricity,51156
1304,electricity,52596
1305,electricity,53864
1306,electricity,56052
1307,electricity,56688
1308,electricity,56301
1309,electricity,56489
1310,electricity,55393
1311,electricity,51348
1312,electricity,48539
1313,electricity,46744
1314,electricity,46510
1315,electricity,50248
1316,electricity,58349
1317,electricity,58452
1318,electricity,56891
1319,electricity,55839
1320,electricity,58690
1321,electricity,58276
1322,electricity,55483
1323,electricity,55144
1324,electricity,53147
1325,electricity,52179
1326,electricity,54385
1327,electricity,59725
1328,electricity,66416
1329,electricity,69017
1330,electricity,69342
1331,electricity,67685
1332,electricity,65938
1333,electricity,64887
1334,electricity,63283
1335,electricity,60737
1336,electricity,57995
1337,electricity,56068
1338,electricity,55191
1339,electricity,57789
1340,electricity,65316
1341,electricity,63756
1342,electricity,60087
1343,electricity,58322
1344,electricity,60948
1345,electricity,59950
1346,electricity,56758
1347,electricity,56068
1348,electricity,54021
1349,electricity,53024
1350,electricity,54762
1351,electricity,59778
1352,electricity,66147
1353,electricity,68348
1354,electricity,68110
1355,electricity,66163
1356,electricity,64552
1357,electricity,63290
1358,electricity,61712
1359,electricity,59382
1360,electricity,56835
1361,electricity,55149
1362,electricity,54088
1363,electricity,56364
1364,electricity,63638
1365,electricity,62378
1366,electricity,58810
1367,electricity,57075
1368,electricity,59414
1369,electricity,58383
1370,electricity,55475
1371,electricity,54893
1372,electricity,52699
1373,electricity,51826
1374,electricity,53425
1375,electricity,58359
1376,electricity,64360
1377,electricity,66916
1378,electricity,67220
1379,electricity,65269
1380,electricity,63476
1381,electricity,62586
1382,electricity,61003
1383,electricity,58754
1384,electricity,56326
1385,electricity,54439
1386,electricity,53346
1387,electricity,55501
1388,electricity,62681
1389,electricity,61364
1390,electricity,57782
1391,electricity,56143
1392,electricity,58504
1393,electricity,57367
1394,electricity,54164
1395,electricity,53384
1396,electricity,51095
1397,electricity,49832
1398,electricity,51240
1399,electricity,55728
1400,electricity,61719
1401,electricity,63881
1402,electricity,64454
1403,electricity,63798
1404,electricity,63311
1405,electricity,63526
1406,electricity,62775
1407,electricity,61144
1408,electricity,59469
1409,electricity,58123
1410,electricity,57641
1411,electricity,60007
1412,electricity,65781
1413,electricity,63731
1414,electricity,59848
1415,electricity,57596
1416,electricity,59773
1417,electricity,58238
1418,electricity,54429
1419,electricity,53391
1420,electricity,50910
1421,electricity,49735
1422,electricity,50928
1423,electricity,55290
1424,electricity,60791
1425,electricity,63060
1426,electricity,64548
1427,electricity,64637
1428,electricity,64608
1429,electricity,64683
1430,electricity,64126
1431,electricity,62396
1432,electricity,60192
1433,electricity,58733
1434,electricity,58210
1435,electricity,60196
1436,electricity,64915
1437,electricity,62909
1438,electricity,59304
1439,electricity,57525
1440,electricity,59952
1441,electricity,58386
1442,electricity,54776
1443,electricity,53485
1444,electricity,50589
1445,electricity,48787
1446,electricity,48766
1447,electricity,50378
1448,electricity,52308
1449,electricity,54104
1450,electricity,56807
1451,electricity,57816
1452,electricity,57645
1453,electricity,58578
1454,electricity,58221
1455,electricity,55445
1456,electricity,53299
1457,electricity,51690
1458,electricity,51185
1459,electricity,53424
1460,electricity,59171
1461,electricity,58351
1462,electricity,55795
1463,electricity,54746
1464,electricity,57791
1465,electricity,57054
1466,electricity,53573
1467,electricity,52422
1468,electricity,49462
1469,electricity,47355
1470,electricity,46956
1471,electricity,47782
1472,electricity,48517
1473,electricity,49651
1474,electricity,52066
1475,electricity,53646
1476,electricity,54440
1477,electricity,55453
1478,electricity,54906
1479,electricity,51113
1480,electricity,48758
1481,electricity,47308
1482,electricity,47384
1483,electricity,50296
1484,electricity,56984
1485,electricity,57064
1486,electricity,54820
1487,electricity,53354
1488,electricity,56118
