TIMESTAMP,TECHNOLOGIES,availabilityFactor
949,OldNuke,0.8446
950,OldNuke,0.8337
951,OldNuke,0.8152
952,OldNuke,0.8236
953,OldNuke,0.8267
954,OldNuke,0.8416
955,OldNuke,0.8506
956,OldNuke,0.8449
957,OldNuke,0.8406
958,OldNuke,0.8393
959,OldNuke,0.8405
960,OldNuke,0.8519
961,OldNuke,0.8369
962,OldNuke,0.8033
963,OldNuke,0.8022
964,OldNuke,0.7775
965,OldNuke,0.7636
966,OldNuke,0.7341
967,OldNuke,0.7221
968,OldNuke,0.7305
969,OldNuke,0.7474
970,OldNuke,0.7893
971,OldNuke,0.8142
972,OldNuke,0.8432
973,OldNuke,0.8599
974,OldNuke,0.8597
975,OldNuke,0.8498
976,OldNuke,0.8627
977,OldNuke,0.8644
978,OldNuke,0.8632
979,OldNuke,0.8622
980,OldNuke,0.87
981,OldNuke,0.8618
982,OldNuke,0.8618
983,OldNuke,0.8567
984,OldNuke,0.8571
985,OldNuke,0.8494
986,OldNuke,0.8409
987,OldNuke,0.8416
988,OldNuke,0.8201
989,OldNuke,0.8178
990,OldNuke,0.8388
991,OldNuke,0.8659
992,OldNuke,0.878
993,OldNuke,0.88
994,OldNuke,0.8797
995,OldNuke,0.8788
996,OldNuke,0.8791
997,OldNuke,0.8803
998,OldNuke,0.8796
999,OldNuke,0.8765
1000,OldNuke,0.8771
1001,OldNuke,0.878
1002,OldNuke,0.8776
1003,OldNuke,0.8779
1004,OldNuke,0.8763
1005,OldNuke,0.8763
1006,OldNuke,0.8785
1007,OldNuke,0.8771
1008,OldNuke,0.8751
1009,OldNuke,0.8741
1010,OldNuke,0.8738
1011,OldNuke,0.8744
1012,OldNuke,0.8744
1013,OldNuke,0.8785
1014,OldNuke,0.8787
1015,OldNuke,0.8757
1016,OldNuke,0.8822
1017,OldNuke,0.8818
1018,OldNuke,0.882
1019,OldNuke,0.8829
1020,OldNuke,0.8826
1021,OldNuke,0.881
1022,OldNuke,0.8774
1023,OldNuke,0.8756
1024,OldNuke,0.8757
1025,OldNuke,0.8764
1026,OldNuke,0.877
1027,OldNuke,0.8787
1028,OldNuke,0.8771
1029,OldNuke,0.8778
1030,OldNuke,0.8776
1031,OldNuke,0.8737
1032,OldNuke,0.8752
1033,OldNuke,0.8752
1034,OldNuke,0.8729
1035,OldNuke,0.8733
1036,OldNuke,0.8734
1037,OldNuke,0.8723
1038,OldNuke,0.8756
1039,OldNuke,0.8762
1040,OldNuke,0.8802
1041,OldNuke,0.8811
1042,OldNuke,0.8832
1043,OldNuke,0.8819
1044,OldNuke,0.8817
1045,OldNuke,0.8816
